Cruise	Event	Station	Type	DeployTime(ISO8601)	Longitude(DecDeg)	Latitude(DecDeg)	BotDepth(m)	Instrument	time_ISO8601	Pressure(dbar)	Temperature(oC)	Conductivity(S/m)	Oxygen(V)	Depth(m)	Salinity	Oxygen(mL/L)	Oxygen(mg/L)	Oxygen(%)	DescentRate(m/s)
70001	004	NLSC089	C	2009-06-18T16:08:00	-56.134167	47.774283	311.000000	SBE25#304	NaN-NaN-NaNTNaN:NaN:NaN	NaN	NaN	NaN	NaN	0.000000	NaN	NaN	NaN	NaN	NaN
70001	004	NLSC089	C	2009-06-18T16:08:00	-56.134167	47.774283	311.000000	SBE25#304	2009-06-18T16:11:03    	1.434000	13.192300	2.887701	2.506700	1.000000	23.631800	5.391640	7.705190	85.076480	0.443000
70001	004	NLSC089	C	2009-06-18T16:08:00	-56.134167	47.774283	311.000000	SBE25#304	2009-06-18T16:11:04    	1.906667	12.969356	2.891109	2.514044	2.000000	23.802156	5.482446	7.834961	86.192688	0.810111
70001	004	NLSC089	C	2009-06-18T16:08:00	-56.134167	47.774283	311.000000	SBE25#304	2009-06-18T16:11:05    	3.010625	11.527800	2.947000	2.527638	3.000000	25.270550	5.640678	8.061091	86.779561	1.088250
70001	004	NLSC089	C	2009-06-18T16:08:00	-56.134167	47.774283	311.000000	SBE25#304	2009-06-18T16:11:06    	4.042571	9.439300	3.012903	2.536729	4.000000	27.425557	5.826793	8.327066	86.803773	1.129000
70001	004	NLSC089	C	2009-06-18T16:08:00	-56.134167	47.774283	311.000000	SBE25#304	2009-06-18T16:11:07    	5.055571	7.252043	3.070005	2.544214	5.000000	29.777771	6.007037	8.584656	86.478713	1.155571
70001	004	NLSC089	C	2009-06-18T16:08:00	-56.134167	47.774283	311.000000	SBE25#304	2009-06-18T16:11:08    	6.063286	6.524200	3.070418	2.543871	6.000000	30.416886	6.046933	8.641673	85.957230	1.133143
70001	004	NLSC089	C	2009-06-18T16:08:00	-56.134167	47.774283	311.000000	SBE25#304	2009-06-18T16:11:09    	7.038286	6.233200	3.072589	2.543500	7.000000	30.700914	6.085507	8.696799	86.080104	1.121571
70001	004	NLSC089	C	2009-06-18T16:08:00	-56.134167	47.774283	311.000000	SBE25#304	2009-06-18T16:11:10    	8.029286	6.033143	3.091709	2.545614	8.000000	31.094743	6.113114	8.736256	86.290000	1.158143
70001	004	NLSC089	C	2009-06-18T16:08:00	-56.134167	47.774283	311.000000	SBE25#304	2009-06-18T16:11:10    	9.061714	5.925686	3.098799	2.547000	9.000000	31.271957	6.121511	8.748251	86.291689	1.155857
70001	004	NLSC089	C	2009-06-18T16:08:00	-56.134167	47.774283	311.000000	SBE25#304	2009-06-18T16:11:11    	10.052143	5.663329	3.072527	2.548400	10.000000	31.219986	6.138244	8.772166	85.963031	1.135714
70001	004	NLSC089	C	2009-06-18T16:08:00	-56.134167	47.774283	311.000000	SBE25#304	2009-06-18T16:11:12    	11.049571	5.070414	3.028886	2.542843	11.000000	31.278543	6.158534	8.801164	85.072027	1.142857
70001	004	NLSC089	C	2009-06-18T16:08:00	-56.134167	47.774283	311.000000	SBE25#304	2009-06-18T16:11:13    	12.052143	4.783357	3.008905	2.534786	12.000000	31.319229	6.173039	8.821890	84.709916	1.131857
70001	004	NLSC089	C	2009-06-18T16:08:00	-56.134167	47.774283	311.000000	SBE25#304	2009-06-18T16:11:14    	13.097750	4.620762	3.003091	2.527163	13.000000	31.405563	6.165363	8.810921	84.322864	1.129750
70001	004	NLSC089	C	2009-06-18T16:08:00	-56.134167	47.774283	311.000000	SBE25#304	2009-06-18T16:11:15    	14.103667	4.523600	2.994981	2.519733	14.000000	31.403483	6.168735	8.815742	84.169880	1.191000
70001	004	NLSC089	C	2009-06-18T16:08:00	-56.134167	47.774283	311.000000	SBE25#304	2009-06-18T16:11:16    	15.098143	4.070514	2.955327	2.514371	15.000000	31.372800	6.225054	8.896226	83.990531	1.177143
70001	004	NLSC089	C	2009-06-18T16:08:00	-56.134167	47.774283	311.000000	SBE25#304	2009-06-18T16:11:17    	16.087571	3.265443	2.895902	2.508986	16.000000	31.444843	6.327976	9.043313	83.748690	1.152571
70001	004	NLSC089	C	2009-06-18T16:08:00	-56.134167	47.774283	311.000000	SBE25#304	2009-06-18T16:11:17    	17.124571	2.751729	2.864053	2.504271	17.000000	31.562314	6.389917	9.131829	83.562690	1.219429
70001	004	NLSC089	C	2009-06-18T16:08:00	-56.134167	47.774283	311.000000	SBE25#304	2009-06-18T16:11:18    	18.209571	2.123471	2.816280	2.498700	18.000000	31.598271	6.470377	9.246817	83.311407	1.169429
70001	004	NLSC089	C	2009-06-18T16:08:00	-56.134167	47.774283	311.000000	SBE25#304	2009-06-18T16:11:19    	19.175286	1.801329	2.794527	2.494500	19.000000	31.649543	6.517054	9.313523	83.259970	1.144571
70001	004	NLSC089	C	2009-06-18T16:08:00	-56.134167	47.774283	311.000000	SBE25#304	2009-06-18T16:11:20    	20.141500	1.519250	2.775199	2.491450	20.000000	31.690767	6.552708	9.364477	83.139628	1.206833
70001	004	NLSC089	C	2009-06-18T16:08:00	-56.134167	47.774283	311.000000	SBE25#304	2009-06-18T16:11:21    	21.132429	1.370500	2.766807	2.487186	21.000000	31.734900	6.560074	9.375003	82.942324	1.155429
70001	004	NLSC089	C	2009-06-18T16:08:00	-56.134167	47.774283	311.000000	SBE25#304	2009-06-18T16:11:22    	22.150375	1.288300	2.765195	2.483512	22.000000	31.797400	6.560716	9.375919	82.811676	1.096250
70001	004	NLSC089	C	2009-06-18T16:08:00	-56.134167	47.774283	311.000000	SBE25#304	2009-06-18T16:11:23    	23.204286	1.272686	2.766168	2.479000	23.000000	31.825029	6.547654	9.357251	82.629510	1.124714
70001	004	NLSC089	C	2009-06-18T16:08:00	-56.134167	47.774283	311.000000	SBE25#304	2009-06-18T16:11:24    	24.232750	1.131013	2.758264	2.475275	24.000000	31.868612	6.557974	9.371996	82.483981	1.045500
70001	004	NLSC089	C	2009-06-18T16:08:00	-56.134167	47.774283	311.000000	SBE25#304	2009-06-18T16:11:25    	25.182143	1.084271	2.756603	2.470957	25.000000	31.894757	6.546269	9.355271	82.252700	1.067857
70001	004	NLSC089	C	2009-06-18T16:08:00	-56.134167	47.774283	311.000000	SBE25#304	2009-06-18T16:11:26    	26.224875	1.060750	2.756226	2.466400	26.000000	31.913437	6.534467	9.338409	82.065376	1.060750
70001	004	NLSC089	C	2009-06-18T16:08:00	-56.134167	47.774283	311.000000	SBE25#304	2009-06-18T16:11:27    	27.235375	1.019713	2.754632	2.461087	27.000000	31.934625	6.518106	9.315026	81.785435	1.035875
70001	004	NLSC089	C	2009-06-18T16:08:00	-56.134167	47.774283	311.000000	SBE25#304	2009-06-18T16:11:28    	28.238143	0.965086	2.753028	2.456100	28.000000	31.969700	6.514721	9.310189	81.647793	1.053286
70001	004	NLSC089	C	2009-06-18T16:08:00	-56.134167	47.774283	311.000000	SBE25#304	2009-06-18T16:11:28    	29.203375	0.895162	2.749471	2.451900	29.000000	31.995575	6.512403	9.306873	81.486164	1.037875
70001	004	NLSC089	C	2009-06-18T16:08:00	-56.134167	47.774283	311.000000	SBE25#304	2009-06-18T16:11:29    	30.256750	0.859838	2.748132	2.447650	30.000000	32.014238	6.519191	9.316576	81.507260	1.057625
70001	004	NLSC089	C	2009-06-18T16:08:00	-56.134167	47.774283	311.000000	SBE25#304	2009-06-18T16:11:30    	31.247000	0.848214	2.747967	2.445143	31.000000	32.023557	6.523366	9.322540	81.540244	1.047571
70001	004	NLSC089	C	2009-06-18T16:08:00	-56.134167	47.774283	311.000000	SBE25#304	2009-06-18T16:11:31    	32.273667	0.838611	2.747485	2.443211	32.000000	32.026711	6.516430	9.312632	81.435134	1.002667
70001	004	NLSC089	C	2009-06-18T16:08:00	-56.134167	47.774283	311.000000	SBE25#304	2009-06-18T16:11:32    	33.267286	0.811643	2.746280	2.440271	33.000000	32.038557	6.516730	9.313061	81.388790	1.023143
70001	004	NLSC089	C	2009-06-18T16:08:00	-56.134167	47.774283	311.000000	SBE25#304	2009-06-18T16:11:33    	34.246250	0.809337	2.747299	2.439250	34.000000	32.053463	6.512739	9.307356	81.342535	1.034875
70001	004	NLSC089	C	2009-06-18T16:08:00	-56.134167	47.774283	311.000000	SBE25#304	2009-06-18T16:11:34    	35.276375	0.820838	2.749460	2.436800	35.000000	32.068775	6.504805	9.296016	81.276244	1.055500
70001	004	NLSC089	C	2009-06-18T16:08:00	-56.134167	47.774283	311.000000	SBE25#304	2009-06-18T16:11:35    	36.291714	0.830457	2.750944	2.435214	36.000000	32.077329	6.491293	9.276707	81.132437	1.069571
70001	004	NLSC089	C	2009-06-18T16:08:00	-56.134167	47.774283	311.000000	SBE25#304	2009-06-18T16:11:36    	37.270500	0.813325	2.750277	2.432500	37.000000	32.085900	6.482133	9.263618	80.986894	1.027875
70001	004	NLSC089	C	2009-06-18T16:08:00	-56.134167	47.774283	311.000000	SBE25#304	2009-06-18T16:11:37    	38.294625	0.800712	2.749968	2.429488	38.000000	32.094437	6.478176	9.257966	80.915866	1.039375
70001	004	NLSC089	C	2009-06-18T16:08:00	-56.134167	47.774283	311.000000	SBE25#304	2009-06-18T16:11:38    	39.340750	0.784563	2.749117	2.427187	39.000000	32.099613	6.471074	9.247810	80.796291	1.023250
70001	004	NLSC089	C	2009-06-18T16:08:00	-56.134167	47.774283	311.000000	SBE25#304	2009-06-18T16:11:39    	40.340625	0.753350	2.747213	2.424450	40.000000	32.106900	6.467513	9.242722	80.690681	1.018750
70001	004	NLSC089	C	2009-06-18T16:08:00	-56.134167	47.774283	311.000000	SBE25#304	2009-06-18T16:11:40    	41.322286	0.705743	2.744405	2.422114	41.000000	32.119529	6.465860	9.240357	80.577727	1.066000
70001	004	NLSC089	C	2009-06-18T16:08:00	-56.134167	47.774283	311.000000	SBE25#304	2009-06-18T16:11:41    	42.378556	0.714533	2.745996	2.417967	42.000000	32.130322	6.448470	9.215510	80.385379	0.998333
