Cruise	Event	Station	Type	DeployTime(ISO8601)	Longitude(DecDeg)	Latitude(DecDeg)	BotDepth(m)	Instrument	time_ISO8601	Pressure(dbar)	Temperature(oC)	Conductivity(S/m)	Oxygen(V)	Depth(m)	Salinity	Oxygen(mL/L)	Oxygen(mg/L)	Oxygen(%)	DescentRate(m/s)
70006	001	NLSC290	C	2012-09-22T19:30:00	-55.810683	47.861333	103.000000	SBE19#6524	NaN-NaN-NaNTNaN:NaN:NaN	NaN	NaN	NaN	NaN	0.000000	NaN	NaN	NaN	NaN	NaN
70006	001	NLSC290	C	2012-09-22T19:30:00	-55.810683	47.861333	103.000000	SBE19#6524	NaN-NaN-NaNTNaN:NaN:NaN	NaN	NaN	NaN	NaN	1.000000	NaN	NaN	NaN	NaN	NaN
70006	001	NLSC290	C	2012-09-22T19:30:00	-55.810683	47.861333	103.000000	SBE19#6524	2012-09-22T19:40:14    	2.082333	17.955067	0.870903	2.539575	2.000000	5.751192	5.627602	8.042405	87.841554	0.302333
70006	001	NLSC290	C	2012-09-22T19:30:00	-55.810683	47.861333	103.000000	SBE19#6524	2012-09-22T19:40:17    	3.029455	16.839336	2.354068	2.452782	3.000000	17.255627	5.268320	7.528955	86.165450	0.346364
70006	001	NLSC290	C	2012-09-22T19:30:00	-55.810683	47.861333	103.000000	SBE19#6524	2012-09-22T19:40:19    	3.986200	16.178450	2.970152	2.429470	4.000000	22.583310	5.124872	7.323954	85.433931	0.394800
70006	001	NLSC290	C	2012-09-22T19:30:00	-55.810683	47.861333	103.000000	SBE19#6524	2012-09-22T19:40:21    	4.998667	15.839211	3.173825	2.380900	5.000000	24.502556	4.924432	7.037504	82.496024	0.449222
70006	001	NLSC290	C	2012-09-22T19:30:00	-55.810683	47.861333	103.000000	SBE19#6524	2012-09-22T19:40:24    	6.026556	15.356656	3.315186	2.355956	6.000000	26.027533	4.933459	7.050407	82.614552	0.459333
70006	001	NLSC290	C	2012-09-22T19:30:00	-55.810683	47.861333	103.000000	SBE19#6524	2012-09-22T19:40:26    	7.060556	14.822744	3.427172	2.359733	7.000000	27.370967	4.994599	7.137783	83.424397	0.458444
70006	001	NLSC290	C	2012-09-22T19:30:00	-55.810683	47.861333	103.000000	SBE19#6524	2012-09-22T19:40:28    	8.091000	14.411733	3.484519	2.367178	8.000000	28.173533	5.028378	7.186051	83.702087	0.457667
70006	001	NLSC290	C	2012-09-22T19:30:00	-55.810683	47.861333	103.000000	SBE19#6524	2012-09-22T19:40:30    	9.116444	14.243133	3.512689	2.369433	9.000000	28.549578	5.012428	7.163261	83.343206	0.451778
70006	001	NLSC290	C	2012-09-22T19:30:00	-55.810683	47.861333	103.000000	SBE19#6524	2012-09-22T19:40:33    	10.120778	13.997011	3.531393	2.373433	10.000000	28.901600	5.050301	7.217386	83.733318	0.440667
70006	001	NLSC290	C	2012-09-22T19:30:00	-55.810683	47.861333	103.000000	SBE19#6524	2012-09-22T19:40:35    	11.135500	13.345660	3.503289	2.360090	11.000000	29.136940	5.053175	7.221492	82.780524	0.408500
70006	001	NLSC290	C	2012-09-22T19:30:00	-55.810683	47.861333	103.000000	SBE19#6524	2012-09-22T19:40:38    	12.125500	12.747340	3.472744	2.352980	12.000000	29.313350	5.085614	7.267851	82.372536	0.400300
70006	001	NLSC290	C	2012-09-22T19:30:00	-55.810683	47.861333	103.000000	SBE19#6524	2012-09-22T19:40:40    	13.127667	12.468867	3.464336	2.346489	13.000000	29.450956	5.111076	7.304238	82.373969	0.443556
70006	001	NLSC290	C	2012-09-22T19:30:00	-55.810683	47.861333	103.000000	SBE19#6524	2012-09-22T19:40:42    	14.139444	12.028633	3.433452	2.347556	14.000000	29.503967	5.182722	7.406628	82.781743	0.450556
70006	001	NLSC290	C	2012-09-22T19:30:00	-55.810683	47.861333	103.000000	SBE19#6524	2012-09-22T19:40:44    	15.157778	11.697144	3.411627	2.352156	15.000000	29.557611	5.214061	7.451413	82.727041	0.455444
70006	001	NLSC290	C	2012-09-22T19:30:00	-55.810683	47.861333	103.000000	SBE19#6524	2012-09-22T19:40:47    	16.131000	11.666813	3.427949	2.357638	16.000000	29.738313	5.263509	7.522084	83.552882	0.458500
70006	001	NLSC290	C	2012-09-22T19:30:00	-55.810683	47.861333	103.000000	SBE19#6524	2012-09-22T19:40:49    	17.105111	11.212389	3.403222	2.359733	17.000000	29.864478	5.268301	7.528931	82.884117	0.459111
70006	001	NLSC290	C	2012-09-22T19:30:00	-55.810683	47.861333	103.000000	SBE19#6524	2012-09-22T19:40:51    	18.141667	10.781344	3.371990	2.361333	18.000000	29.909389	5.351350	7.647616	83.436749	0.459667
70006	001	NLSC290	C	2012-09-22T19:30:00	-55.810683	47.861333	103.000000	SBE19#6524	2012-09-22T19:40:53    	19.164444	10.375956	3.346834	2.361744	19.000000	29.992911	5.383143	7.693050	83.238881	0.449111
70006	001	NLSC290	C	2012-09-22T19:30:00	-55.810683	47.861333	103.000000	SBE19#6524	2012-09-22T19:40:55    	20.167889	9.996511	3.322612	2.365422	20.000000	30.065078	5.458182	7.800290	83.741619	0.446222
