Cruise	Event	Station	Type	DeployTime(ISO8601)	Longitude(DecDeg)	Latitude(DecDeg)	BotDepth(m)	Instrument	time_ISO8601	Pressure(dbar)	Temperature(oC)	Conductivity(S/m)	Oxygen(V)	Depth(m)	Salinity	Oxygen(mL/L)	Oxygen(mg/L)	Oxygen(%)	DescentRate(m/s)
70004	001	NLSC148	C	2011-07-05T17:25:00	-55.413767	47.683273	78.000000	SBE19#6523	NaN-NaN-NaNTNaN:NaN:NaN	NaN	NaN	NaN	NaN	0.000000	NaN	NaN	NaN	NaN	NaN
70004	001	NLSC148	C	2011-07-05T17:25:00	-55.413767	47.683273	78.000000	SBE19#6523	2011-07-05T17:29:31    	1.402000	15.574600	2.875797	2.651100	1.000000	22.125750	6.378965	9.116180	104.761560	0.303000
70004	001	NLSC148	C	2011-07-05T17:25:00	-55.413767	47.683273	78.000000	SBE19#6523	2011-07-05T17:29:32    	1.985333	14.249278	3.152629	2.701333	2.000000	25.362144	6.514524	9.309907	106.213894	0.471000
70004	001	NLSC148	C	2011-07-05T17:25:00	-55.413767	47.683273	78.000000	SBE19#6523	2011-07-05T17:29:34    	3.036571	11.935714	3.390964	2.729271	3.000000	29.183814	6.594951	9.424846	104.914520	0.549286
70004	001	NLSC148	C	2011-07-05T17:25:00	-55.413767	47.683273	78.000000	SBE19#6523	2011-07-05T17:29:36    	4.025286	10.633829	3.385659	2.729357	4.000000	30.171271	6.700321	9.575431	104.309024	0.569429
70004	001	NLSC148	C	2011-07-05T17:25:00	-55.413767	47.683273	78.000000	SBE19#6523	2011-07-05T17:29:38    	5.010143	10.017857	3.364169	2.721586	5.000000	30.470529	6.703603	9.580121	103.165344	0.560286
70004	001	NLSC148	C	2011-07-05T17:25:00	-55.413767	47.683273	78.000000	SBE19#6523	2011-07-05T17:29:40    	6.051375	9.256488	3.322370	2.705000	6.000000	30.693887	6.739998	9.632129	102.144158	0.555500
70004	001	NLSC148	C	2011-07-05T17:25:00	-55.413767	47.683273	78.000000	SBE19#6523	2011-07-05T17:29:41    	7.110429	8.684857	3.284307	2.688657	7.000000	30.795186	6.795850	9.711949	101.751487	0.569000
70004	001	NLSC148	C	2011-07-05T17:25:00	-55.413767	47.683273	78.000000	SBE19#6523	2011-07-05T17:29:43    	8.111857	8.161800	3.246449	2.676614	8.000000	30.856386	6.831684	9.763163	101.130007	0.572857
70004	001	NLSC148	C	2011-07-05T17:25:00	-55.413767	47.683273	78.000000	SBE19#6523	2011-07-05T17:29:45    	9.101571	7.675014	3.209467	2.664529	9.000000	30.894271	6.903176	9.865329	101.087606	0.563571
70004	001	NLSC148	C	2011-07-05T17:25:00	-55.413767	47.683273	78.000000	SBE19#6523	2011-07-05T17:29:47    	10.094571	7.419014	3.195941	2.661371	10.000000	30.977157	6.943247	9.922596	101.136361	0.569571
70004	001	NLSC148	C	2011-07-05T17:25:00	-55.413767	47.683273	78.000000	SBE19#6523	2011-07-05T17:29:48    	11.096857	7.193957	3.186133	2.654129	11.000000	31.072929	6.945346	9.925590	100.707806	0.575143
70004	001	NLSC148	C	2011-07-05T17:25:00	-55.413767	47.683273	78.000000	SBE19#6523	2011-07-05T17:29:50    	12.102143	7.080600	3.183827	2.649957	12.000000	31.149729	6.974194	9.966820	100.913240	0.572429
70004	001	NLSC148	C	2011-07-05T17:25:00	-55.413767	47.683273	78.000000	SBE19#6523	2011-07-05T17:29:52    	13.093571	6.997900	3.182405	2.648471	13.000000	31.208671	6.981600	9.977409	100.866780	0.559857
70004	001	NLSC148	C	2011-07-05T17:25:00	-55.413767	47.683273	78.000000	SBE19#6523	2011-07-05T17:29:54    	14.138250	6.873663	3.177761	2.645000	14.000000	31.270550	6.972952	9.965046	100.493721	0.556375
70004	001	NLSC148	C	2011-07-05T17:25:00	-55.413767	47.683273	78.000000	SBE19#6523	2011-07-05T17:29:56    	15.184714	6.844943	3.179467	2.639271	15.000000	31.314843	6.944614	9.924549	100.047901	0.562000
70004	001	NLSC148	C	2011-07-05T17:25:00	-55.413767	47.683273	78.000000	SBE19#6523	2011-07-05T17:29:58    	16.164857	6.828300	3.180479	2.633214	16.000000	31.340586	6.945361	9.925617	100.037039	0.557286
70004	001	NLSC148	C	2011-07-05T17:25:00	-55.413767	47.683273	78.000000	SBE19#6523	2011-07-05T17:29:59    	17.146143	6.729400	3.173784	2.628671	17.000000	31.357386	6.930093	9.903796	99.599556	0.565000
70004	001	NLSC148	C	2011-07-05T17:25:00	-55.413767	47.683273	78.000000	SBE19#6523	2011-07-05T17:30:01    	18.135429	6.548900	3.159562	2.623729	18.000000	31.366414	6.980161	9.975351	99.904547	0.560286
70004	001	NLSC148	C	2011-07-05T17:25:00	-55.413767	47.683273	78.000000	SBE19#6523	2011-07-05T17:30:03    	19.164500	6.386362	3.149819	2.627650	19.000000	31.408163	7.059773	10.089125	100.689658	0.544000
70004	001	NLSC148	C	2011-07-05T17:25:00	-55.413767	47.683273	78.000000	SBE19#6523	2011-07-05T17:30:05    	20.185857	6.190471	3.137480	2.630686	20.000000	31.452086	7.051683	10.077557	100.143967	0.541143
70004	001	NLSC148	C	2011-07-05T17:25:00	-55.413767	47.683273	78.000000	SBE19#6523	2011-07-05T17:30:07    	21.203625	6.176313	3.141497	2.626313	21.000000	31.509300	7.025421	10.040033	99.775370	0.544000
