Cruise	Event	Station	Type	DeployTime(ISO8601)	Longitude(DecDeg)	Latitude(DecDeg)	BotDepth(m)	Instrument	time_ISO8601	Pressure(dbar)	Temperature(oC)	Conductivity(S/m)	Oxygen(V)	Depth(m)	Salinity	Oxygen(mL/L)	Oxygen(mg/L)	Oxygen(%)	DescentRate(m/s)
61022	001	NLSC036	C	2013-11-03T13:48:00	-55.874500	47.614333	103.000000	SBE25#1003	NaN-NaN-NaNTNaN:NaN:NaN	NaN	NaN	NaN	NaN	0.000000	NaN	NaN	NaN	NaN	NaN
61022	001	NLSC036	C	2013-11-03T13:48:00	-55.874500	47.614333	103.000000	SBE25#1003	NaN-NaN-NaNTNaN:NaN:NaN	NaN	NaN	NaN	NaN	1.000000	NaN	NaN	NaN	NaN	NaN
61022	001	NLSC036	C	2013-11-03T13:48:00	-55.874500	47.614333	103.000000	SBE25#1003	2013-11-03T13:53:50    	2.172438	7.943437	3.081139	2.283319	2.000000	29.308250	6.165438	8.811027	89.904565	0.658375
61022	001	NLSC036	C	2013-11-03T13:48:00	-55.874500	47.614333	103.000000	SBE25#1003	2013-11-03T13:53:52    	3.017500	7.842378	3.135018	2.286250	3.000000	29.960767	6.157489	8.799669	89.963935	0.875444
61022	001	NLSC036	C	2013-11-03T13:48:00	-55.874500	47.614333	103.000000	SBE25#1003	2013-11-03T13:53:53    	4.031813	7.806781	3.147444	2.288700	4.000000	30.122388	6.158244	8.800745	89.996751	1.026625
61022	001	NLSC036	C	2013-11-03T13:48:00	-55.874500	47.614333	103.000000	SBE25#1003	2013-11-03T13:53:54    	5.043714	7.799200	3.150022	2.290464	5.000000	30.155786	6.154743	8.795741	89.949612	1.100143
61022	001	NLSC036	C	2013-11-03T13:48:00	-55.874500	47.614333	103.000000	SBE25#1003	2013-11-03T13:53:54    	6.020429	7.758279	3.163743	2.290750	6.000000	30.336307	6.145326	8.782287	89.833989	1.149714
61022	001	NLSC036	C	2013-11-03T13:48:00	-55.874500	47.614333	103.000000	SBE25#1003	2013-11-03T13:53:55    	7.057143	7.695071	3.180439	2.291200	7.000000	30.568436	6.141222	8.776419	89.780511	1.211286
61022	001	NLSC036	C	2013-11-03T13:48:00	-55.874500	47.614333	103.000000	SBE25#1003	2013-11-03T13:53:56    	8.098308	7.639054	3.190346	2.290615	8.000000	30.722754	6.128382	8.758072	89.568476	1.238154
61022	001	NLSC036	C	2013-11-03T13:48:00	-55.874500	47.614333	103.000000	SBE25#1003	2013-11-03T13:53:57    	9.107231	7.623862	3.192844	2.289154	9.000000	30.762362	6.109704	8.731379	89.287592	1.258846
61022	001	NLSC036	C	2013-11-03T13:48:00	-55.874500	47.614333	103.000000	SBE25#1003	2013-11-03T13:53:58    	10.063308	7.619546	3.193486	2.286846	10.000000	30.772592	6.086692	8.698489	88.948465	1.283769
61022	001	NLSC036	C	2013-11-03T13:48:00	-55.874500	47.614333	103.000000	SBE25#1003	2013-11-03T13:53:58    	11.114615	7.582269	3.196203	2.283515	11.000000	30.834154	6.076075	8.683319	88.753370	1.274154
61022	001	NLSC036	C	2013-11-03T13:48:00	-55.874500	47.614333	103.000000	SBE25#1003	2013-11-03T13:53:59    	12.132615	7.535692	3.197370	2.280323	12.000000	30.887523	6.077585	8.685477	88.711800	1.221846
61022	001	NLSC036	C	2013-11-03T13:48:00	-55.874500	47.614333	103.000000	SBE25#1003	2013-11-03T13:54:00    	13.101000	7.467631	3.197220	2.277985	13.000000	30.946115	6.093190	8.707781	88.835021	1.207154
61022	001	NLSC036	C	2013-11-03T13:48:00	-55.874500	47.614333	103.000000	SBE25#1003	2013-11-03T13:54:01    	14.094846	7.342438	3.195174	2.276938	14.000000	31.035638	6.120454	8.746741	89.028728	1.226538
61022	001	NLSC036	C	2013-11-03T13:48:00	-55.874500	47.614333	103.000000	SBE25#1003	2013-11-03T13:54:02    	15.129714	7.140021	3.186069	2.276186	15.000000	31.118971	6.151304	8.790828	89.110363	1.161429
61022	001	NLSC036	C	2013-11-03T13:48:00	-55.874500	47.614333	103.000000	SBE25#1003	2013-11-03T13:54:03    	16.163647	6.986535	3.179176	2.275765	16.000000	31.182541	6.175376	8.825230	89.179992	0.935353
61022	001	NLSC036	C	2013-11-03T13:48:00	-55.874500	47.614333	103.000000	SBE25#1003	2013-11-03T13:54:04    	17.147760	6.920316	3.178136	2.275120	17.000000	31.230828	6.160968	8.804641	88.864105	0.570200
61022	001	NLSC036	C	2013-11-03T13:48:00	-55.874500	47.614333	103.000000	SBE25#1003	2013-11-03T13:54:07    	18.144923	6.923596	3.179823	2.261850	18.000000	31.245731	6.041329	8.633662	87.153594	0.550538
61022	001	NLSC036	C	2013-11-03T13:48:00	-55.874500	47.614333	103.000000	SBE25#1003	2013-11-03T13:54:08    	19.135500	6.855361	3.181977	2.247422	19.000000	31.330950	5.915813	8.454290	85.256336	0.878111
61022	001	NLSC036	C	2013-11-03T13:48:00	-55.874500	47.614333	103.000000	SBE25#1003	2013-11-03T13:54:09    	20.173375	6.579950	3.173183	2.231900	20.000000	31.486594	5.935051	8.481782	85.075171	1.065438
61022	001	NLSC036	C	2013-11-03T13:48:00	-55.874500	47.614333	103.000000	SBE25#1003	2013-11-03T13:54:10    	21.170750	6.439742	3.167013	2.226525	21.000000	31.547625	6.049030	8.644668	86.461034	1.254333
61022	001	NLSC036	C	2013-11-03T13:48:00	-55.874500	47.614333	103.000000	SBE25#1003	2013-11-03T13:54:11    	22.184000	6.183883	3.153029	2.227067	22.000000	31.629867	6.140595	8.775523	87.293309	1.364833
61022	001	NLSC036	C	2013-11-03T13:48:00	-55.874500	47.614333	103.000000	SBE25#1003	2013-11-03T13:54:12    	23.223833	5.741550	3.128131	2.228717	23.000000	31.765575	6.209697	8.874280	87.441399	1.332250
61022	001	NLSC036	C	2013-11-03T13:48:00	-55.874500	47.614333	103.000000	SBE25#1003	2013-11-03T13:54:12    	24.221615	5.172646	3.095589	2.228985	24.000000	31.936615	6.270602	8.961316	87.213671	1.213615
61022	001	NLSC036	C	2013-11-03T13:48:00	-55.874500	47.614333	103.000000	SBE25#1003	2013-11-03T13:54:13    	25.224733	4.690093	3.066909	2.227933	25.000000	32.070820	6.318072	9.029159	86.943253	1.131067
61022	001	NLSC036	C	2013-11-03T13:48:00	-55.874500	47.614333	103.000000	SBE25#1003	2013-11-03T13:54:14    	26.237714	4.643050	3.063590	2.225879	26.000000	32.077464	6.292186	8.992164	86.492946	1.113000
61022	001	NLSC036	C	2013-11-03T13:48:00	-55.874500	47.614333	103.000000	SBE25#1003	2013-11-03T13:54:15    	27.239333	4.648640	3.063944	2.221607	27.000000	32.075627	6.264978	8.953281	86.129481	1.062067
61022	001	NLSC036	C	2013-11-03T13:48:00	-55.874500	47.614333	103.000000	SBE25#1003	2013-11-03T13:54:16    	28.266278	4.614206	3.061730	2.217644	28.000000	32.082856	6.265621	8.954198	86.071038	0.903389
61022	001	NLSC036	C	2013-11-03T13:48:00	-55.874500	47.614333	103.000000	SBE25#1003	2013-11-03T13:54:17    	29.256727	4.509732	3.055647	2.213918	29.000000	32.113209	6.288626	8.987075	86.187287	0.729636
61022	001	NLSC036	C	2013-11-03T13:48:00	-55.874500	47.614333	103.000000	SBE25#1003	2013-11-03T13:54:19    	30.250625	4.234237	3.037455	2.210929	30.000000	32.169188	6.324990	9.039042	86.141892	0.668750
61022	001	NLSC036	C	2013-11-03T13:48:00	-55.874500	47.614333	103.000000	SBE25#1003	2013-11-03T13:54:20    	31.272000	3.938486	3.016462	2.207779	31.000000	32.212154	6.368703	9.101513	86.140745	0.594893
61022	001	NLSC036	C	2013-11-03T13:48:00	-55.874500	47.614333	103.000000	SBE25#1003	2013-11-03T13:54:22    	32.261680	3.744172	3.002750	2.204736	32.000000	32.241108	6.373580	9.108485	85.815682	0.642280
61022	001	NLSC036	C	2013-11-03T13:48:00	-55.874500	47.614333	103.000000	SBE25#1003	2013-11-03T13:54:24    	33.294130	3.652883	2.996562	2.199313	33.000000	32.257413	6.351579	9.077040	85.337768	0.709000
61022	001	NLSC036	C	2013-11-03T13:48:00	-55.874500	47.614333	103.000000	SBE25#1003	2013-11-03T13:54:25    	34.316875	3.603600	2.993264	2.194800	34.000000	32.266488	6.359455	9.088295	85.345643	0.655083
61022	001	NLSC036	C	2013-11-03T13:48:00	-55.874500	47.614333	103.000000	SBE25#1003	2013-11-03T13:54:27    	35.294714	3.405771	2.979629	2.191582	35.000000	32.299750	6.401907	9.148965	85.517516	0.577714
61022	001	NLSC036	C	2013-11-03T13:48:00	-55.874500	47.614333	103.000000	SBE25#1003	2013-11-03T13:54:28    	36.305556	3.247878	2.968656	2.189111	36.000000	32.325096	6.416624	9.169997	85.396208	0.608333
61022	001	NLSC036	C	2013-11-03T13:48:00	-55.874500	47.614333	103.000000	SBE25#1003	2013-11-03T13:54:30    	37.324231	3.144454	2.961441	2.186058	37.000000	32.341162	6.415578	9.168503	85.173598	0.627577
61022	001	NLSC036	C	2013-11-03T13:48:00	-55.874500	47.614333	103.000000	SBE25#1003	2013-11-03T13:54:32    	38.314667	3.048652	2.954686	2.183314	38.000000	32.355124	6.422753	9.178758	85.074934	0.789333
61022	001	NLSC036	C	2013-11-03T13:48:00	-55.874500	47.614333	103.000000	SBE25#1003	2013-11-03T13:54:33    	39.353563	2.987063	2.950342	2.180619	39.000000	32.363862	6.419319	9.173852	84.904729	0.990625
61022	001	NLSC036	C	2013-11-03T13:48:00	-55.874500	47.614333	103.000000	SBE25#1003	2013-11-03T13:54:34    	40.361333	2.948280	2.947710	2.178847	40.000000	32.370427	6.432430	9.192585	85.000071	1.050200
61022	001	NLSC036	C	2013-11-03T13:48:00	-55.874500	47.614333	103.000000	SBE25#1003	2013-11-03T13:54:35    	41.350733	2.903920	2.944629	2.177860	41.000000	32.377187	6.447858	9.214633	85.114012	1.049800
61022	001	NLSC036	C	2013-11-03T13:48:00	-55.874500	47.614333	103.000000	SBE25#1003	2013-11-03T13:54:36    	42.361125	2.831963	2.939522	2.177081	42.000000	32.387069	6.453206	9.222276	85.038090	1.033875
61022	001	NLSC036	C	2013-11-03T13:48:00	-55.874500	47.614333	103.000000	SBE25#1003	2013-11-03T13:54:37    	43.383625	2.752237	2.934315	2.175500	43.000000	32.403600	6.454514	9.224146	84.896232	1.008188
61022	001	NLSC036	C	2013-11-03T13:48:00	-55.874500	47.614333	103.000000	SBE25#1003	2013-11-03T13:54:38    	44.378750	2.716531	2.932158	2.174194	44.000000	32.412844	6.455226	9.225165	84.835441	0.991812
61022	001	NLSC036	C	2013-11-03T13:48:00	-55.874500	47.614333	103.000000	SBE25#1003	2013-11-03T13:54:39    	45.372625	2.695906	2.931046	2.172444	45.000000	32.419606	6.447265	9.213787	84.691159	1.012938
61022	001	NLSC036	C	2013-11-03T13:48:00	-55.874500	47.614333	103.000000	SBE25#1003	2013-11-03T13:54:40    	46.375000	2.640413	2.927668	2.170647	46.000000	32.433960	6.450417	9.218291	84.623585	1.060200
